symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2021-04-09 00:00:00+00:00,2285.88,2289.04,2253.7139,2256.7,1044365,113.4361946401,113.5930088101,111.8399603756,111.9881448038,20887300,0.0,1.0
GOOG,2021-04-12 00:00:00+00:00,2254.79,2275.32,2238.465,2266.25,1565851,111.8933615555,112.9121574135,111.0832377181,112.4620610456,31317020,0.0,1.0
GOOG,2021-04-13 00:00:00+00:00,2267.27,2277.21,2256.09,2261.47,1165804,112.5126782778,113.0059481671,111.9578737141,112.2248548011,23316080,0.0,1.0
GOOG,2021-04-14 00:00:00+00:00,2254.84,2277.99,2249.19,2275.16,1010967,111.8958427923,113.0446554623,111.6154630263,112.9042174555,20219340,0.0,1.0
GOOG,2021-04-15 00:00:00+00:00,2296.66,2306.5965,2266.0,2276.98,1373612,113.9711493088,114.4642455116,112.4496548613,112.9945344775,27472240,0.0,1.0
GOOG,2021-04-16 00:00:00+00:00,2297.76,2306.44,2284.45,2303.0,1130090,114.0257365199,114.4564792402,113.3652312656,114.2857701437,22601800,0.0,1.0
GOOG,2021-04-19 00:00:00+00:00,2302.4,2318.45,2287.845,2291.98,1234445,114.2559953013,115.0524723359,113.533707249,113.738905538,24688900,0.0,1.0
GOOG,2021-04-20 00:00:00+00:00,2293.63,2309.6,2271.71,2307.89,1088749,113.8207863546,114.6132934103,112.7330121116,114.5284351094,21774980,0.0,1.0
GOOG,2021-04-21 00:00:00+00:00,2293.29,2295.32,2258.57,2285.25,1196731,113.8039139439,113.9046521607,112.0809430627,113.4049310555,23934620,0.0,1.0
GOOG,2021-04-22 00:00:00+00:00,2267.92,2303.7621,2256.45,2293.23,1054808,112.544934357,114.323589156,111.9757386195,113.8009364597,21096160,0.0,1.0
GOOG,2021-04-23 00:00:00+00:00,2315.3,2325.82,2278.21,2283.47,1435162,114.8961544132,115.4182066503,113.0555729045,113.316599023,28703240,0.0,1.0
GOOG,2021-04-26 00:00:00+00:00,2326.74,2341.26,2313.84,2319.93,1041650,115.4638614086,116.1844125951,114.8237022967,115.1259169472,20833000,0.0,1.0
